bc,nsub,dip,variant,ncol,nlay,status,rms_all_mm,rms_mid_mm,max_abs_mm,drop_mid_mm,drop_ana_mm,drop_ratio,kgeo
analytical,2,5.0,planview,42,6,ok,7.506815902149985,9.683084139019119,13.92436710754641,2512.4895276793,2505.8197881779124,1.0026616995894335,"1.0,0.01,1.0"
analytical,2,10.0,planview,42,6,ok,29.799181358757266,38.43813012394408,55.27439444109561,2475.3382415086517,2448.8619337422087,1.0108116784379033,"1.0,0.01,1.0"
analytical,2,15.0,planview,42,6,ok,66.199748039383,85.39142416998648,122.79367438117461,2414.6749601461997,2355.8570722778536,1.0249666622650735,"1.0,0.01,1.0"
analytical,2,20.0,planview,42,6,ok,115.6025075630742,149.11631856980432,214.43067370712666,2332.342909729186,2229.6311094377093,1.0460667237090082,"1.0,0.01,1.0"
analytical,2,25.0,planview,42,6,ok,176.5063786333464,227.67656123484153,327.4010439315509,2230.843705588707,2074.0193572292555,1.0756137341789125,"1.0,0.01,1.0"
analytical,2,30.0,planview,42,6,ok,247.06082911931398,318.68514010876095,458.27223911194625,2113.261350513216,1893.7500000000002,1.1159135844294208,"1.0,0.01,1.0"
analytical,2,35.0,planview,42,6,ok,325.1220987052207,419.3768065183405,603.0678054912939,1983.1685254598476,1694.3004309486566,1.1704940217417348,"1.0,0.01,1.0"
analytical,2,40.0,planview,42,6,ok,408.3183327246418,526.6920926444891,757.388199729439,1844.5180334037552,1481.7308243044995,1.2448401579750776,"1.0,0.01,1.0"
analytical,2,45.0,planview,42,6,ok,494.12165926074636,637.3702815137605,916.5444793030373,1701.5227019235356,1262.5,1.34774075399884,"1.0,0.01,1.0"
analytical,2,50.0,planview,42,6,ok,579.9249854410322,748.0484699292589,1075.7007585250826,1558.5273701288288,1043.2691756955005,1.493888064975972,"1.0,0.01,1.0"
analytical,2,55.0,planview,42,6,ok,663.1212195523179,855.3637561700313,1230.0211528375614,1419.8768781522335,830.699569051343,1.7092543815494325,"1.0,0.01,1.0"
analytical,2,60.0,planview,42,6,ok,741.1824892420544,956.0554227090284,1374.8167192768497,1289.7840531888344,631.2500000000005,2.0432222624773604,"1.0,0.01,1.0"
analytical,2,0.0,planview_xt3d,42,6,ok,7.290208784525215e-07,8.829087452767057e-07,1.454617759577559e-06,2524.9999993972797,2524.9999999999995,0.9999999997612992,"1.0,0.01,1.0"
analytical,2,5.0,planview_xt3d,42,6,ok,7.5069066560478594,9.681474538081304,13.933678913193859,2512.4884464578363,2505.8197881779124,1.0026612681053064,"1.0,0.01,1.0"
analytical,2,10.0,planview_xt3d,42,6,ok,29.800360565555426,38.411496068723295,55.314727936710106,2475.3202795930288,2448.8619337422087,1.0108043436366327,"1.0,0.01,1.0"
analytical,2,15.0,planview_xt3d,42,6,ok,66.1864205842019,85.23365278011815,122.92846066371688,2414.5680887100552,2355.8570722778536,1.0249212981224851,"1.0,0.01,1.0"
